oficinasolicita,oficinaacepta,usuariosolicita,usuarioacepta,comprobantetransferencia,estadotransferencia,codproducto,cantidad_enteros,cantidad_fraccion,sumaventacajas,sumavalorventa,tipo_venta_transferencia,aniomes
2169,870,AEMERA,GEINSUASTI,2169-501-0000826,ACEPTADA,0000103622,2.0,2.0,4.0,12.7464,VENTA TOTAL,202404
352,521,AJIMENEZR,MCARMIJOS,352-001-0034925,ACEPTADA,0000140892,2.0,2.0,6.0,757.536,VENTA TOTAL,202404
1791,521,PAARMIJOSP,AEZEAS,1791-001-0005125,ACEPTADA,0000104281,4.0,4.0,,,SIN VENTA,202404
369,521,PJCARRION,AEZEAS,369-002-0024799,ACEPTADA,0000109550,2.0,2.0,,,SIN VENTA,202404
369,521,PJCARRION,AEZEAS,369-002-0024799,ACEPTADA,0000137387,2.0,200.0,,,SIN VENTA,202404
1907,521,NYMALDONA,MCSEGARRA,1907-500-0002752,ACEPTADA,24186,2.0,2.0,,,SIN VENTA,202404
3170,521,YKGUAJALA,AEZEAS,3170-502-0001166,ACEPTADA,0000142912,1.0,1.0,,,SIN VENTA,202404
1867,521,KIBAUTISTA,MCARMIJOS,1867-502-0006250,ACEPTADA,0000124911,1.0,1.0,1.0,217.207,VENTA TOTAL,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,05154,1.0,20.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000113439,1.0,28.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000132847,2.0,2.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000128910,1.0,1.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,16490,4.0,120.0,,,SIN VENTA,202404
1791,1045,PAARMIJOSP,NSARIAS,1791-001-0005067,ACEPTADA,0000130687,1.0,60.0,,,SIN VENTA,202404
